n	PCC	 	 	 	Lower-tailed	 	 	 	 	 	Upper-tailed	 	 
6	0.0	-0.93108988381	-0.803544912333	-0.699842355977	-0.587533930079	-0.439262552361	-0.323608956393	0.321638177281	0.438277166102	0.581871119953	0.689076474867	0.790248297626	0.928897889926
6	0.05	-0.943806639145	-0.809465161751	-0.706283547832	-0.596942023115	-0.446039975957	-0.331601653119	0.31345386941	0.428795366946	0.578140109961	0.687427218128	0.792401136905	0.921249846509
6	0.1	-0.923514450878	-0.805574744759	-0.709137293456	-0.60309904233	-0.457615111168	-0.343771921499	0.304383995701	0.420207809326	0.568953243652	0.679343560943	0.785096160757	0.921951700302
6	0.15	-0.938926882273	-0.818554759802	-0.717051817263	-0.611965616557	-0.467913944679	-0.351820729863	0.293095600002	0.407077826728	0.562627270338	0.677329561004	0.786266213268	0.916603925371
6	0.2	-0.940971513667	-0.828119787186	-0.731370991679	-0.623332653187	-0.475874708337	-0.36114045081	0.286026914322	0.399839448322	0.549644358558	0.658681720217	0.768123554186	0.896767484672
6	0.25	-0.963727954577	-0.834582251689	-0.73728102718	-0.630695959259	-0.483795428772	-0.368182490604	0.269342349335	0.385081897868	0.542203982461	0.657938208313	0.76437800381	0.899591294337
6	0.3	-0.969123343078	-0.840110503106	-0.743306799082	-0.638614195675	-0.493544940309	-0.376384493222	0.260022481357	0.372862399307	0.526887372103	0.643298325914	0.748674446888	0.891652239275
6	0.35	-0.979298274507	-0.858736384001	-0.758075793059	-0.651270065689	-0.505479247943	-0.390610657226	0.247657615747	0.36065449931	0.511759113822	0.624280926781	0.733668446358	0.866965260723
6	0.4	-0.987478853924	-0.863903726153	-0.767876820921	-0.663110737656	-0.5131279243	-0.397160952186	0.23310384613	0.343998059609	0.498986931494	0.615955884012	0.729394730295	0.873239210528
6	0.45	-0.983889807358	-0.874433528611	-0.775149161233	-0.672589002818	-0.523247613832	-0.405129102611	0.218725186998	0.329505932086	0.486812466159	0.604981285802	0.720651382321	0.863597738
6	0.5	-1.00246864097	-0.889038424152	-0.792707351498	-0.689143070181	-0.541353833154	-0.420623202411	0.203231989227	0.312583339509	0.471924249698	0.593170958336	0.721686878893	0.864053801514
6	0.55	-1.02489991451	-0.898363736411	-0.809241617284	-0.704134571838	-0.55177711708	-0.430389926118	0.186130028967	0.294159626756	0.447163549581	0.563929727628	0.691358667328	0.848974923854
6	0.6	-1.04018819036	-0.915146578491	-0.817239269698	-0.717239079975	-0.567219585733	-0.443474500305	0.168957053015	0.273483724162	0.427304872597	0.54800441675	0.666363082737	0.833093105559
6	0.65	-1.05169040268	-0.930387577095	-0.834811691376	-0.730047212947	-0.580583438877	-0.455846762022	0.149810741852	0.250322273191	0.404124419823	0.524053349523	0.65814991142	0.811820281065
6	0.7	-1.06469390382	-0.948320634884	-0.855070207799	-0.753224510784	-0.59961389295	-0.471100220136	0.127968283594	0.219498140688	0.368319574518	0.492340672224	0.614192915043	0.783736626723
6	0.75	-1.11251055864	-0.989761686399	-0.884534509247	-0.772532829476	-0.617201120196	-0.485427998937	0.10719852566	0.194189800379	0.337853714195	0.459981344768	0.594141695131	0.771926386077
6	0.8	-1.1334334184	-1.01164334672	-0.91200622093	-0.797997739022	-0.638572995673	-0.499863339009	0.0833819776823	0.15902756984	0.288459345928	0.402332271859	0.533183935174	0.719253544315
6	0.85	-1.16952997636	-1.05181115996	-0.947197270427	-0.836227111841	-0.663233979526	-0.525078483977	0.0573947179636	0.119009732633	0.231441907555	0.342963047814	0.461598795017	0.642804100191
6	0.9	-1.23080222101	-1.10884640417	-1.00167072025	-0.885078420516	-0.700060171227	-0.547461576547	0.0327840931601	0.0752625892937	0.161427092163	0.252775853876	0.353802400193	0.519699022054
6	0.95	-1.30129370194	-1.18620222696	-1.07520459358	-0.940850883337	-0.744975381246	-0.577961256857	0.0110271894778	0.0311882312107	0.079308439286	0.134513598994	0.210150857238	0.344094139888
7	0.0	-0.792464372429	-0.673278268467	-0.586001150522	-0.494531892767	-0.366860841789	-0.270288514616	0.267870117369	0.364399215836	0.490157881162	0.583094205197	0.670478807425	0.788125041586
7	0.05	-0.788211578811	-0.67579066529	-0.591264827525	-0.498435645634	-0.372925496004	-0.276340437464	0.258504610007	0.35455999191	0.479891452032	0.573273883357	0.668636078096	0.778076634411
7	0.1	-0.810751739223	-0.691501130306	-0.602262619454	-0.511971049764	-0.385439985304	-0.287160381979	0.249533933092	0.344337000042	0.471923468981	0.560754556429	0.651161393192	0.773123087806
7	0.15	-0.816876286738	-0.700863147186	-0.611938561341	-0.52131106206	-0.397806559079	-0.296490781402	0.238458863688	0.333832157714	0.463295262688	0.55999786529	0.655511989246	0.768052732512
7	0.2	-0.81087929192	-0.70446890898	-0.617950483817	-0.527494856324	-0.402898873554	-0.303615446493	0.229844624346	0.323180339133	0.451045502546	0.546696386741	0.633380064518	0.750200340726
7	0.25	-0.846546087098	-0.735162994003	-0.640871152115	-0.545470056725	-0.413120459772	-0.312168694568	0.219578243802	0.31301988822	0.438420320022	0.530794771113	0.620395845259	0.749442205602
7	0.3	-0.838506878709	-0.729266362383	-0.640470636152	-0.550138060666	-0.423599555516	-0.32256083379	0.208154516993	0.299836312527	0.426781052857	0.527693045948	0.62242011799	0.73804002381
7	0.35	-0.84906100463	-0.743983233905	-0.657284566128	-0.561900137844	-0.434668826567	-0.332963986172	0.196426416628	0.289027946768	0.418012269315	0.516725696259	0.613184340325	0.74551210232
7	0.4	-0.875908042557	-0.755010798614	-0.668184006649	-0.573225982329	-0.441921422578	-0.339891301846	0.185750708187	0.275210189023	0.403277092379	0.501147611663	0.599605563967	0.712029086121
7	0.45	-0.872359617383	-0.761500486449	-0.675002585133	-0.584005544698	-0.454110898117	-0.350544420246	0.173534875357	0.261008762246	0.387392330618	0.488553533679	0.590299469138	0.712271117555
7	0.5	-0.89313714609	-0.77839715214	-0.688074312524	-0.594645182918	-0.463729706397	-0.358326651036	0.160505507229	0.249007466422	0.376827828097	0.47183540021	0.570654294259	0.703487064558
7	0.55	-0.89514913582	-0.793011505756	-0.704608814007	-0.611747975151	-0.478730406364	-0.373450374379	0.147215236721	0.230012767717	0.354191559271	0.452090563098	0.54830031338	0.691044111215
7	0.6	-0.91406165076	-0.810844623252	-0.722895804039	-0.624780459658	-0.489665710552	-0.383486132973	0.130467843419	0.209707093894	0.328126051046	0.430319324051	0.53834757114	0.677881978743
7	0.65	-0.938473785647	-0.829827323361	-0.742814706544	-0.648834565361	-0.507450532367	-0.39556645438	0.113518676054	0.188778201806	0.304923267074	0.403200173558	0.503205790678	0.641770087494
7	0.7	-0.955796411016	-0.850383721993	-0.760036644997	-0.660051917347	-0.522692680107	-0.408933262964	0.097624195669	0.167644950347	0.281424071152	0.380558896886	0.481976731731	0.620976126779
7	0.75	-0.998182587104	-0.880172041186	-0.785297088825	-0.687771460318	-0.541380557856	-0.425110479492	0.0793865911748	0.142857876046	0.249299679695	0.34199346183	0.440611794372	0.582572873669
7	0.8	-1.02546589211	-0.911467936941	-0.815123153458	-0.712010495581	-0.561369024109	-0.439446759394	0.060459007516	0.11386359308	0.20678274829	0.293518721871	0.388596875342	0.522450836128
7	0.85	-1.05569679742	-0.94171166166	-0.845311434652	-0.738704645909	-0.58196382263	-0.45518422949	0.0420905224083	0.084298536925	0.16408699084	0.238908366733	0.333180099143	0.475824024981
7	0.9	-1.12214592538	-1.00387657202	-0.8945167833	-0.779550827035	-0.612093378045	-0.476831794307	0.0240953562981	0.0533738278233	0.113186024041	0.175769114423	0.251524540927	0.378188811357
7	0.95	-1.19668904407	-1.06366038634	-0.952186919711	-0.828440772978	-0.643814837732	-0.497991755246	0.00773625356811	0.0210375781199	0.0508048964157	0.0833564669043	0.128587553588	0.213707792519
8	0.0	-0.687640782945	-0.583662427831	-0.506340596897	-0.426574244203	-0.314785517361	-0.23034404006	0.230264249869	0.313084463206	0.422684971525	0.502709384226	0.589192483619	0.688421396625
8	0.05	-0.686747406251	-0.5884450573	-0.516742292362	-0.431610039114	-0.32060039084	-0.23844716157	0.221442724075	0.304160769383	0.415824744575	0.495975492104	0.576666692618	0.680923243718
8	0.1	-0.697103909026	-0.595590159517	-0.517314750706	-0.43852768005	-0.329986514086	-0.246884579284	0.212149912114	0.292801559969	0.400240741268	0.486902384834	0.567906341999	0.670168772293
8	0.15	-0.715908310903	-0.612015081561	-0.534994659858	-0.452467634465	-0.339920509723	-0.255341658693	0.203267310636	0.285723023932	0.395039888177	0.478700856459	0.559045054045	0.664208367545
8	0.2	-0.733275660631	-0.634502246777	-0.547516172621	-0.463519823997	-0.350494114292	-0.26263042065	0.193981829837	0.272956941472	0.381209212598	0.462349597853	0.543131261061	0.651675278142
8	0.25	-0.727810226108	-0.629025826587	-0.549748438636	-0.470243272447	-0.357712363064	-0.270746967132	0.185574749233	0.264016556133	0.373028031148	0.457958972203	0.54267838702	0.646197805281
8	0.3	-0.74945517247	-0.648993119031	-0.564234146328	-0.480724091964	-0.36626377808	-0.280289301092	0.173166034376	0.251204628822	0.360562235516	0.439788358108	0.521102609549	0.62739001124
8	0.35	-0.757506916602	-0.657400263069	-0.577854375218	-0.495932206758	-0.380896252161	-0.290751363214	0.163837054873	0.241012466651	0.349865587812	0.433544565232	0.51617308277	0.622542115338
8	0.4	-0.770447993898	-0.664969430592	-0.582065819403	-0.501324944715	-0.385606262307	-0.297434037166	0.153204640351	0.227380317501	0.330692781356	0.411823637288	0.495477169816	0.608829154387
8	0.45	-0.780318812714	-0.678847794212	-0.600289210893	-0.514256506877	-0.399352147093	-0.307550876617	0.14265824914	0.213894757716	0.316659020066	0.397344895292	0.484189433414	0.589882284335
8	0.5	-0.807457682006	-0.696590174896	-0.610902415982	-0.527866078381	-0.410055391903	-0.31669186437	0.132194748928	0.202956938142	0.306061015433	0.392373826186	0.480146363668	0.593038040872
8	0.55	-0.810642779418	-0.712161138982	-0.625753482452	-0.539642219084	-0.420997568702	-0.327096011729	0.116195435843	0.183126441412	0.286046210343	0.363804512275	0.453749182054	0.570237537521
