ID	6148	5939	6761	6971	6835	4632	6745	2668	6831	6982	6147	6847	6968	6145	6979	6595	6146	5931	6744	4676	6985	6743	5932	2665	6969	5936	4627	2661	6983	6742	6981	6975	6849	4512	6778	4626	5933	6978	2662	5930	5935	2657	5645	4625	6980	4490	6776	6829	6984	6836	6986	2655	6972	6828	6144	6777	3396	6970
CDK2AP1	1375.7062	1347.5830	1662.8631	1319.1489	1642.1652	2238.4752	2170.4797	1680.8756	1286.3485	1256.9156	1665.2669	1361.0860	1636.0032	1237.5250	1022.4452	1438.8629	1240.8418	1513.8249	1547.1883	2373.2823	1419.0626	2171.5686	1100.6494	2095.8188	1422.0339	1338.3248	3093.2487	1938.1684	1604.5100	2012.3587	1792.5963	1251.1251	1479.7447	3166.2382	1313.6792	1632.1005	1156.9825	1457.8415	1682.9616	1532.2703	1870.7430	1505.4069	1457.7382	1400.1499	1086.8347	2272.4090	1361.7021	1418.5412	1571.9612	1312.6102	1332.7160	1811.4022	1109.4488	1277.8135	1707.5661	1645.4018	1550.2763	1344.1265
CGGBP1	2119.1196	2293.3596	2097.5104	2293.2181	1823.8054	2167.1677	2265.6827	1400.9255	2490.5660	2401.0125	1976.0048	1933.0317	1747.0262	1962.6202	1969.8970	2286.6044	2289.9454	2155.9140	2439.1198	2178.5472	2278.8539	2317.2269	2281.6558	1767.6028	2003.3898	2118.2343	2578.1563	1800.1006	2065.9150	1709.1183	2257.3090	2004.5005	2135.7701	3157.6692	2317.2170	1943.7066	2125.8702	1996.6273	1692.9283	1762.3386	2188.8932	1893.0279	1954.5774	2121.4013	1963.5854	3296.9188	2232.6241	2070.2113	1994.4072	1988.4482	1985.1944	1913.7196	2057.4803	2019.2926	1786.1674	1821.8724	1813.2458	2393.0723
CHCHD8	331.9209	395.0868	540.4564	438.1649	491.6475	754.5097	969.0037	544.1628	407.3252	418.7308	461.9076	480.5430	687.5496	554.5273	483.7602	392.5234	339.8285	463.1336	365.1182	745.7940	491.9260	632.3529	422.8896	542.5087	463.5593	408.6726	986.0033	463.0728	542.0642	681.2359	446.9826	435.6436	416.1297	986.2896	399.1745	823.1654	418.8095	416.5261	479.3545	610.4784	453.5604	615.8224	487.0054	786.0622	463.1186	1051.1204	437.5887	657.8050	512.6771	518.7936	412.9630	499.5378	411.0236	488.7460	545.8765	489.6437	435.0250	415.6627
COQ9	661.4878	540.2583	689.8340	597.7394	966.3848	800.7632	969.0037	593.7020	452.8302	615.4402	346.1308	707.6923	772.4029	561.7855	594.6660	572.4299	566.6407	529.1859	537.2453	773.9685	655.7700	755.6022	593.3442	755.0523	698.3051	583.3723	804.9667	722.1279	662.6193	765.0339	650.4111	536.4536	586.1528	880.0343	479.3632	768.4337	398.9203	633.2209	587.5653	722.0957	583.5913	823.5629	671.0372	767.3286	732.0261	857.8431	677.3050	897.7505	831.0962	697.7148	657.7160	689.0601	608.6614	584.5659	785.3938	664.4573	636.3980	559.4880
COX7A1	227.4011	417.7507	371.3693	172.2074	210.4376	238.0126	576.3838	154.3779	342.9523	256.0116	236.9526	165.6109	191.1182	249.6825	106.6807	411.6044	173.8114	387.8648	201.4670	850.2052	249.7046	506.3025	295.4545	311.8467	133.8983	244.5796	1319.5203	327.3773	90.1995	221.2509	248.2200	153.9154	345.4808	802.9135	325.4717	295.5514	271.0612	272.3440	412.4347	304.4799	303.4056	206.0330	416.2959	426.3769	283.8469	1115.5462	283.6879	161.5542	227.0694	194.5476	346.6049	481.9723	355.1181	191.6399	339.1614	341.3422	272.4459	231.9277
CUL3	1500.4708	1526.4440	1513.4855	1501.9947	1369.0973	1601.5264	1507.7491	1642.0891	2038.8457	1540.4086	2154.1692	1482.3529	1411.5781	1686.8082	1597.0425	1608.2555	1578.3320	1706.6052	1541.9723	1464.2423	1638.0465	1598.0392	1478.8961	1370.3833	1413.5593	1603.4940	1391.7195	1447.5769	1604.5100	1586.7370	1427.7316	1751.5752	1583.7772	1700.0857	1771.8160	1568.6117	2041.7673	1581.7875	1384.4328	1526.9552	1437.3065	1591.3489	1523.7649	1387.7857	1396.8254	1658.2633	1779.4326	1369.4615	1589.4855	1614.9794	1529.0123	1519.8767	1459.0551	1846.9453	1313.9409	1393.5377	1513.8514	1607.6807
CXXC1	778.7194	660.9282	571.5768	584.4415	871.8131	560.8233	663.4686	667.8187	562.7081	737.6605	490.1020	766.5158	898.4933	672.1103	661.2094	676.4019	848.0125	579.1091	553.5452	497.1960	690.8232	572.8291	668.0195	768.2927	800.0000	727.4996	612.6152	841.2173	809.1934	629.9925	938.7568	772.2772	717.3579	414.7386	822.5236	894.3167	538.7129	647.5548	747.0337	625.6644	587.4613	899.2601	878.4828	778.5688	1058.8235	504.2017	754.6099	821.4042	835.9433	688.3391	800.9259	893.3744	951.9685	643.7299	680.1795	694.2833	654.7585	718.3735
DDX10	323.9171	309.3316	297.7178	313.1649	475.3636	344.9738	382.2878	298.0031	309.6559	324.7152	250.1500	355.6561	349.7224	274.3604	336.9422	299.0654	283.7101	329.4931	339.6903	311.5762	346.9870	349.4398	358.7662	323.6934	272.0339	325.6902	314.1202	294.6396	307.0252	347.2494	278.0811	257.4257	225.1448	351.3282	334.9057	253.2255	371.6437	366.7791	289.0365	403.9484	382.3529	349.4593	317.0218	304.6085	309.9907	325.6303	351.0638	363.3265	282.6249	364.8744	331.7901	348.5362	292.1260	295.1768	367.6311	321.4582	318.3471	307.2289
DYNC1H1	10024.0113	10555.8627	6928.4232	8894.9468	10402.2584	3728.2223	3713.6531	9208.1413	8462.8191	11399.7469	10130.1740	9438.9140	7347.3434	7393.9394	8069.7122	10012.8505	10042.0889	8166.6667	10266.3407	4609.8358	7752.2647	6131.6527	11210.2273	8581.1847	8530.5085	10274.8401	3898.7542	9214.9588	7579.3582	8309.8719	8603.7158	7717.3717	8748.0397	3652.0994	7676.8868	3870.6288	9382.5828	8370.1518	9149.9763	8221.7160	10476.7802	6242.4587	8902.8331	4213.9378	8202.6144	3865.5462	9622.6950	8091.3429	7167.4124	8138.1835	8798.1481	9830.2003	8701.5748	10033.4405	9562.1229	9386.0812	10980.4572	9155.1205
ECHDC2	936.9115	540.8708	711.6183	1315.8245	1028.3887	490.4795	460.5166	624.0399	639.2897	1065.9917	584.2831	1085.0679	1015.8604	812.9196	727.7528	808.0218	803.5853	615.2074	513.7734	532.8284	1000.3939	578.4314	639.6104	743.2056	1316.1017	550.9281	398.7117	639.5718	1032.0902	612.5094	1498.6516	1054.0054	957.2535	611.8252	815.4481	672.4707	712.0330	821.2479	677.7409	716.7806	606.8111	795.1053	811.0513	787.5609	1683.4734	466.3866	974.4681	843.8991	1215.1380	818.8188	1012.6543	623.4206	1103.9370	605.7878	861.5194	536.8683	478.2610	823.7952
