ID	7149	4395	5933	A48Z	4415	4396	4398	7158	5044	7813
RPL39	1326.1649	1583.7948	466.3801	1091.7828	593.7778	301.7437	619.8347	1504.1494	1362.3337	1114.0802
SAMD5	238.7648	279.4458	35.7184	383.4695	26.6667	53.0705	13.9191	342.3237	100.3071	295.9918
SGIP1	46.8707	13.4220	126.5451	126.3815	14.2222	42.4564	53.7190	21.1618	84.9539	53.4430
SIPA1L1	757.6510	1159.3915	1466.4949	765.0168	426.6667	532.9795	978.4689	882.9876	859.7748	726.6187
SLC16A14	3064.2404	845.5854	360.2454	229.2167	148.4444	2463.2297	270.7699	15.7676	63.4596	819.1161
SLC25A36	1042.7350	703.3123	1293.0056	1334.4546	1003.5556	1479.1509	1113.0926	1588.7967	660.1842	2205.5498
SLC36A1	163.2203	287.4990	581.1892	400.7689	433.3333	138.7415	282.2967	280.0830	385.8751	162.3844
SNCA	18.1969	29.5284	43.3723	24.9880	122.6667	10.6141	34.1453	11.6183	38.8946	11.3052
SNX13	867.3835	1195.6309	1932.3647	985.1033	941.3333	1250.1895	1609.1779	1211.6183	369.4985	619.7328
SOCS1	81.0587	107.3759	85.7241	197.0207	28.8889	31.8423	405.8286	30.7054	451.3818	94.5529
SRF	1441.4116	637.8130	1090.9416	1272.4652	1352.4444	1570.8870	1282.0792	1923.2365	1794.2682	1160.3289
SRGAP2	385.9939	524.7998	1129.7215	954.3489	537.3333	593.6315	1730.1000	1675.5187	1079.8362	975.3340
SUMO2	4799.0074	4469.5227	3180.9774	3503.6040	4495.5556	1737.6801	4035.0152	3200.8299	4962.1290	5448.0987
TAS1R3	92.0871	17.1801	10.7155	48.0538	16.4444	11.3723	53.5015	6.2241	30.7062	14.3885
TBC1D12	234.9049	131.5355	285.7471	264.7765	212.8889	305.5345	199.6520	332.7801	187.3081	356.6290
TFG	3146.9534	5368.2591	3039.1244	1629.5050	3626.6667	5815.7695	3530.0130	1732.3651	3324.4626	3126.4132
THTPA	280.6727	210.7252	120.9322	243.1523	245.7778	251.7058	304.6977	481.3278	262.0266	249.7431
TMEM109	1976.2889	2621.5831	2692.1458	2564.6324	1364.0000	2457.1645	3115.7025	2290.4564	2064.4831	1434.7379
TMF1	848.0838	960.4776	1823.1685	902.4507	1191.5556	2798.3321	1644.1931	1020.3320	737.9734	1606.3720
TNFRSF6B	42.1285	75.2464	491.2707	266.1605	327.4711	386.9674	547.7033	13.9004	5462.1699	11.6033
TP53BP2	1058.7262	1716.6725	1291.4748	1075.9250	1441.3333	1545.8681	2350.1522	3603.3195	930.3992	2046.2487
TPRA1	1032.8095	682.9109	587.3123	941.3743	289.3333	637.6042	939.9739	769.2946	1082.9069	384.3782
TTC31	587.2622	265.2185	287.7881	671.3119	521.3333	332.8279	312.9622	650.2075	459.5701	693.7307
VGLL3	191.8941	851.4910	1040.9358	675.6367	6086.2222	126.6111	269.6825	73.0290	195.4964	285.7143
VPS39	2313.2065	927.4595	1445.0638	1648.2460	1824.4444	3476.1183	1053.2840	1644.8133	1454.4524	1419.3217
XYLT1	99.8070	132.0724	1599.1632	529.5531	61.7778	443.5178	434.7542	234.4398	572.1597	748.2014
YIF1A	1454.6457	2666.9494	1653.2510	1462.2778	1272.4444	2150.1137	3429.9696	1117.4274	2257.9324	895.1696
ZBTB25	62.4759	150.7424	62.9256	160.1874	238.2711	42.7521	76.6094	143.3237	86.8373	89.5786
ZNF330	1426.5233	474.6016	631.7052	447.8616	489.7778	1033.3586	494.9978	819.5021	504.6059	3918.8078
ZNF396	56.7963	13.9589	21.4310	23.0658	38.6667	84.9128	67.4206	58.0913	25.5885	36.9990
ZNF485	66.7218	64.9624	96.4396	58.1451	38.2222	44.7309	58.9387	146.0581	77.7892	92.4974
ZNF506	146.1263	188.9816	244.4158	508.8900	39.1111	427.5967	433.0144	398.3402	224.1556	396.7112
ZNF700	149.4348	112.2078	171.9585	433.4455	24.4444	182.7142	281.6442	295.0207	139.2016	298.0473
ZNF711	124.6209	8.0532	13.2668	181.6434	250.6667	47.7635	16.3114	7.8838	110.5425	158.2734
