ID	7633	7162	A4M7	8085	6968	4486	A4N4	4677	A443	8032	8179	A4DG	A4AE	5049	6147	7347	6145	A4AD	4123	7938	A4AG	A4TA	4487	5942	6835	A456	7546	6148	7553	4514	1681	7903	6673	7570	8090	7947	6980	A4SU	8097	1676	A47G	6840	8089	3770	A4N5	7348	7764	7498	8507	A491	6987	2655	5045	2661	A4SS	5946	7043	7725	7271	7941	7953	7911	4488	7995	6543	A4TH	8499	4122	3771	A444	4389	6776	6216	8668	7726	8669	7281	5645	5608	A492	A4DF	5935	5944	3398	7763	8076	7159	3918	A4M2	7659	7672	6828	8028	8206	1595	8255	6778	1592	5899	8299	7944	8281	7573	3919	4662	A4E6
CDK2AP1	1737.2378	2099.1584	1704.7701	2636.3953	2581.5684	4484.6277	2872.2261	1419.5880	1889.6532	2287.6699	925.1067	758.4388	1124.1135	2208.1473	1926.7760	1961.5385	1894.5041	2115.3065	3235.7926	2187.3112	2004.7840	1549.5421	3557.7085	1637.2744	1162.5282	1992.0154	1582.9854	1819.7402	1498.7862	5247.8658	3178.8199	1839.5615	1517.1060	4663.1808	2443.7906	899.3619	1229.8851	1315.1778	2534.4580	3181.6308	1357.8826	1543.4339	2080.3792	4525.3759	1007.4803	1962.8563	1980.1061	1557.1000	2154.7619	5397.5648	1939.6186	2990.5477	3949.2386	2076.3689	1760.6702	1369.5722	5423.4764	1824.5798	1889.1420	2096.0309	3797.3262	1820.5365	2749.5872	1480.4442	1622.0736	1495.3875	5205.1396	3997.4874	3279.4788	1288.5345	2179.5302	1072.5575	2548.4014	1950.1488	3822.5377	2538.7524	3637.6068	1636.2593	3192.1383	2252.2764	1932.9635	1674.9960	2524.1653	4032.9764	1919.3143	1808.2245	3907.9890	3744.0885	1353.3950	1464.1256	2043.3424	2257.5758	2350.5497	1528.9427	2049.7232	1102.3578	1882.6142	1355.9524	1551.0787	2727.2084	2904.8316	2202.2981	2084.8679	2002.6016	1143.9958	1237.5274
CGGBP1	1956.9318	2029.6378	1515.2557	2021.9207	1701.7745	1983.6365	1359.2385	2097.2982	2324.3016	1661.0932	1345.7509	1507.9114	2406.6194	1948.1083	1569.3989	1630.5361	1519.2988	1987.0158	2510.8240	2720.2538	1607.4293	1156.9053	4638.5847	2259.3363	2009.9323	2193.1096	2270.8820	2017.9456	1978.2906	2294.5545	1664.7691	2245.1420	1287.7173	1274.9455	1729.0276	1270.6581	1450.0442	2055.6403	1843.8972	1785.5101	2524.7411	1871.9867	2164.7920	1865.6015	1672.8346	2434.4174	2175.0663	1730.4443	1430.7359	1504.4997	2163.4887	2120.4195	2129.0186	2890.4899	1584.5478	2551.0003	1133.4509	2553.5714	2258.1777	966.5161	1269.2459	2264.0412	2780.4219	1231.4874	1499.4426	2085.7934	2186.3949	2219.1206	2616.2866	1729.6887	1395.3087	1085.4885	1702.0775	2290.9226	1842.0586	2334.5936	1671.2251	1850.2697	1108.2582	1574.1832	1896.4401	1380.8690	2030.7974	2339.1863	1737.2543	2157.8640	2583.4711	3095.3890	1786.3851	1837.0703	1426.7864	2702.8620	2106.8040	1455.7058	3445.7171	1536.1997	2098.9975	1913.5086	2060.2943	1768.4660	1545.0220	2033.0780	1971.1769	2410.7512	2149.4485	2057.3545
CHCHD8	573.5130	639.9561	649.7636	1110.6472	701.7745	1741.5836	672.1720	710.3722	1138.8460	1298.1324	812.5728	839.1350	579.7872	893.4152	733.3333	839.9378	890.7138	806.7397	1652.8055	715.4079	827.9161	1246.9855	458.2982	747.9934	509.2551	877.7170	486.9520	528.7264	624.6059	1943.3706	602.8734	824.1156	700.5048	1785.1852	673.5832	732.2022	740.9372	791.1727	738.5997	3596.6562	617.9517	666.2744	713.9738	1849.6241	461.4173	936.5176	1001.3263	977.9231	954.0043	870.8311	768.0085	1177.2627	1067.6819	1116.7147	493.4750	950.7880	2757.5936	805.6723	600.6074	863.3189	1067.4348	952.0285	988.4425	782.2335	859.5318	550.7380	1417.2205	1986.9347	910.0977	774.4875	1554.6980	804.5977	919.9941	440.4762	536.8234	681.1594	905.9829	652.8973	1001.5108	1238.3503	376.3292	933.9488	637.2923	1305.3533	617.7036	763.5938	1043.5262	823.4172	630.9422	1004.4843	824.2874	620.3704	873.8119	524.2174	522.5024	3835.5062	592.0051	993.8238	1835.6908	981.9978	885.4319	711.3510	576.4612	708.6179	617.7108	548.9616
COQ9	1049.1373	813.3919	1333.0468	1829.8539	694.9056	1818.3889	1275.1569	970.0036	803.0324	1187.4450	1391.1525	982.0675	833.9243	635.0446	1030.0546	822.4553	802.9059	1376.7763	663.4934	731.1178	517.7994	1633.9671	1278.0118	787.6306	504.7404	1220.1686	400.8351	903.7097	804.9781	3079.5539	1342.0078	753.8615	827.2574	1110.6754	763.0845	699.1981	1341.2909	1136.7531	986.0006	1734.2382	669.1600	733.5131	1127.3052	794.1729	612.9921	530.3411	1506.6313	1089.1251	966.4502	758.0731	888.7712	1332.1248	1107.4450	826.6090	954.2733	803.4738	980.5996	938.0252	681.8527	1351.7458	938.3263	936.6988	1557.8793	849.5650	762.5418	694.6494	954.0688	992.4623	778.5016	712.9841	901.6779	1246.4080	871.6664	420.3869	653.9485	1379.3321	626.2108	406.1962	1519.9983	1352.4371	1249.1909	1329.9379	664.1256	1014.9893	832.2743	1092.5745	948.7603	788.7109	971.9399	1151.7190	1278.7973	771.8855	850.5562	950.3839	1011.4328	1628.8488	850.2538	636.5669	1614.5164	988.3332	1085.2855	1147.9805	711.7694	517.3984	619.3518	912.1550
COX7A1	87.5241	175.2653	101.4181	58.8031	29.1929	61.1782	173.4482	77.7738	205.5314	201.0365	138.5332	43.7764	60.2837	248.8839	121.3115	125.4856	84.0177	85.2619	129.0980	74.9245	56.8454	63.0158	76.6639	76.7173	58.6907	81.0291	65.7620	145.7078	66.0770	89.5175	129.3937	18.9337	37.5771	30.9368	72.1586	22.6139	175.9505	80.7607	131.7069	277.8384	73.6479	68.0028	52.3941	220.8647	33.8583	83.8771	67.6393	132.7337	59.5238	100.5823	66.3842	140.1010	394.2470	222.8626	67.0151	40.2059	51.7343	11.5546	126.8033	129.0612	30.4306	37.0028	79.2515	24.8957	61.8729	67.3432	79.1611	252.2613	70.3583	82.7639	44.2953	81.1782	30.6468	77.3810	49.6894	28.3554	119.0883	57.3723	41.8478	214.2475	14.7943	94.2225	129.2880	547.3233	151.3226	65.0945	48.4848	173.9130	143.5273	33.6323	188.2077	41.2458	172.2645	102.1855	101.3264	24.1331	85.6599	55.7537	69.7242	158.3867	57.4671	66.8524	60.8487	93.6585	52.0424	137.3794
CUL3	2364.0138	2070.6184	1498.9257	1349.6868	2370.3492	1937.7528	1547.1007	1745.1391	1368.5245	1244.5487	1725.2619	1509.4937	1333.9243	1948.1027	1416.3934	1772.3388	1151.6109	1904.5879	1309.4224	2677.9456	1833.1223	1111.6632	1269.5872	2066.8911	1865.4628	1163.3890	2324.6347	1540.1098	1448.3355	1687.0599	1492.0033	1545.0922	1482.3331	1950.3268	2190.4614	1949.6871	1395.2255	1557.4598	1644.9357	1841.6321	2143.2681	2043.9038	1686.1759	1672.9323	1674.8031	1968.1399	1719.4960	1492.2322	1568.7229	1326.0985	1502.4718	1729.1208	1498.3080	1231.0279	2498.3904	1853.3290	3130.7074	2442.2269	1920.2733	1455.9005	2350.2474	1894.5421	1825.7201	1945.2578	1949.8328	1625.4613	1649.3871	1196.9849	2024.7557	920.2733	1840.6040	1859.1954	1778.1052	1580.3571	2405.5013	1444.2344	2311.1111	1932.8744	1646.6057	1714.5153	1539.5284	1835.4289	1837.4752	1632.5482	1871.4349	1572.0133	1603.3058	1024.7902	1157.8511	1697.3094	1332.2921	2191.0774	1350.5540	1745.1270	1627.0212	1674.0638	1852.7919	2207.1441	1418.4884	1418.7228	896.0469	2071.0306	2449.9600	2177.8862	1943.1518	1212.4987
CXXC1	587.3326	650.5671	1190.3739	994.7808	804.8082	636.3862	668.8087	613.5164	848.5189	980.5417	723.3217	816.4557	1060.8747	751.6741	698.3607	852.3699	729.6273	1000.4060	526.0523	463.4441	788.5184	1985.4013	796.1247	820.8748	681.2641	867.0708	425.3653	844.2480	653.1797	879.1074	568.1757	790.7324	714.5261	1123.7473	711.9851	579.4054	454.4651	966.7801	907.9372	616.6488	729.5742	477.5476	631.6402	610.9023	957.8740	645.9197	936.3395	967.0210	1000.0000	817.8931	938.9124	656.4806	815.1438	719.9808	682.3358	433.5799	527.5328	198.5294	804.1002	759.1643	889.2828	723.6686	408.7323	538.6520	658.8629	1304.8893	2412.6422	379.3970	647.5570	773.7282	834.8993	829.0230	642.9940	921.8750	229.8137	1035.9168	481.4815	781.4114	1105.7757	720.4071	1371.7060	613.0829	528.7391	628.6938	858.2828	884.8178	836.3636	638.4439	1220.4637	1087.4439	664.9746	740.7407	931.0899	968.9900	707.4536	1304.2996	1221.4467	787.8598	690.3843	1228.6587	1704.2460	850.9749	642.9143	852.3577	589.5798	1008.3763
DDX10	339.1558	386.7545	329.6089	285.6646	647.3955	297.5787	536.2001	326.1294	257.7566	616.4075	484.6721	539.0295	392.4350	593.7500	500.5464	368.2984	287.4289	576.5327	434.7177	483.3837	627.5503	679.8434	404.3808	455.1891	274.4921	417.5662	351.7745	377.1260	466.1104	323.6401	319.8699	484.8032	389.2316	939.4336	305.0480	454.1121	388.1521	343.2328	402.3267	561.2197	357.8826	761.0199	497.3283	388.1579	204.7244	481.4678	268.5676	348.5963	591.4502	291.1593	544.8446	408.9085	318.1049	382.3247	292.9835	561.2737	715.6575	701.6807	471.5262	350.9558	411.5518	407.5591	529.0772	181.9082	526.7559	333.9483	1326.2443	395.4774	428.6645	312.0729	372.8188	437.5000	438.4853	433.7798	576.7524	245.1166	402.8490	502.0080	251.4416	314.4081	296.3477	446.9203	387.2542	282.2270	346.9780	468.5247	426.9972	274.2182	278.8668	443.9462	279.1878	435.1852	419.0335	351.4471	370.8180	707.0735	612.3096	854.9808	530.9330	577.7948	530.7467	363.1616	312.2498	414.9593	273.1056	318.6981
DYNC1H1	8047.0327	9884.3761	10128.9214	8938.4134	12597.5959	5066.8181	6985.0155	6227.3943	3902.8499	5690.0362	11104.3849	6848.1013	5612.2931	4217.6339	9413.6612	7185.3147	6999.3683	6950.8729	3870.3048	8250.1511	5631.0680	5398.3527	8055.6024	9583.2654	11804.0632	7064.3206	6086.6388	8660.5062	8385.9698	4617.4180	7243.1553	9367.7130	10380.2580	13845.7516	12445.9585	8312.7567	10070.7339	9567.7896	7269.5028	3854.4016	6467.2037	11343.4752	10061.3344	2632.5188	8263.7795	5203.6827	7692.3077	9735.8953	11100.1082	5869.7724	8868.9972	6116.5350	4279.6108	3076.8492	12311.3988	9222.5796	6924.5542	5866.5966	7502.6576	9240.6497	8716.4488	9361.1735	4666.2998	27970.5778	10400.7804	8679.4280	4869.0001	1488.9447	7321.1726	5946.0896	6612.7517	9869.9713	8459.7024	8750.7440	10677.9059	5048.5192	6617.6638	8130.8090	10218.6726	6184.7884	8419.3250	7330.2562	10364.3848	2181.5846	10312.3984	8342.2335	10274.9311	3257.4371	7789.0052	4701.7937	10975.0098	12464.6465	5496.9617	10443.8866	5874.4896	7147.8502	13671.3198	5746.9647	10338.6198	8598.0768	7776.3543	7985.3760	9190.5524	6187.6423	7601.2425	7699.9232
ECHDC2	553.3595	530.1866	1537.1723	711.8998	299.9428	1134.4565	633.2543	391.4709	2194.0194	946.9053	980.9856	3450.9494	2408.9835	279.5759	686.3388	851.9814	600.7581	1428.7454	308.6935	868.8822	1444.2099	786.0816	350.4634	940.4258	345.8239	2533.1953	720.2505	1029.5969	519.6864	602.9040	978.0428	1167.9123	475.6029	431.3725	856.3023	531.4272	1248.4527	2022.7726	1877.5245	780.1647	964.9022	398.8478	377.9862	476.5038	1450.0000	568.6471	1300.3979	1270.3734	748.9177	742.1916	408.5452	644.8271	563.8748	544.6686	1154.2109	981.0228	364.4915	985.2941	426.7274	1133.7328	675.3822	601.0308	1541.7355	552.2314	683.9465	936.3469	72.6628	407.5377	429.9674	1864.0850	345.6376	864.9425	905.2601	855.6548	133.9840	852.5520	1000.0000	881.8130	578.7768	1731.1194	572.3532	690.7528	719.6219	480.9422	472.2920	624.4397	352.6171	527.8413	1630.8169	2520.1794	413.5103	426.7677	1015.9302	1770.8210	2177.2968	438.5576	365.4822	940.5059	379.4828	584.9750	885.0659	678.6212	1642.9143	852.3577	1088.2025	1415.5089
