ID	4670	1680	8033	7145	7167	4434	7624	7701	8620	4402	8171	6591	7765	8094	4632	7160	4244	7156	8512	4666	A4T7
MME	306.6831	121.8236	247.6562	823.4165	17.5334	183.1336	2656.1265	73.7619	57.7467	418.1193	4.7746	162.4851	598.0025	127.5518	96.3487	112.9338	180.8186	312.8109	222.3410	102.1191	98.8095
NCF4	156.6216	514.2003	239.8438	260.1181	71.3224	929.4596	129.9956	417.2813	210.1503	352.9767	184.5246	9.5579	329.5880	33.3780	534.5058	248.5804	511.7375	39.8010	280.0641	429.3530	262.0217
NFS1	687.9869	426.0090	539.0625	534.2023	682.3180	675.7857	829.6004	269.7576	563.1790	428.7351	805.2240	448.0287	401.3733	808.8213	399.9235	395.5836	874.4219	628.1095	394.4415	826.5107	654.6132
NR2F2	723.5206	386.3976	946.0938	670.9535	790.4903	1158.7158	551.6030	1233.9305	598.3033	1069.7871	565.6509	2695.3405	1050.5618	270.6005	416.7463	1678.8644	593.7691	1370.6468	1135.2218	572.4706	1837.6811
OSBPL1A	144.0481	361.7339	711.3281	298.5248	2049.9257	555.2792	724.6377	583.7724	178.5980	576.3918	189.5801	1013.7395	488.1398	1037.1033	395.3355	784.2271	254.1234	2146.7662	869.0540	457.2722	484.7843
OSBPL5	943.8294	587.4439	531.6406	445.7505	510.2526	835.6319	242.8634	195.9958	386.3670	657.2170	190.4227	420.5496	590.5119	284.9054	192.6974	282.6498	499.1710	116.9154	887.7606	136.8295	949.7185
PHC1	168.5035	311.0314	188.3008	166.9993	831.9762	328.2207	286.1440	261.1591	546.8076	366.4395	376.3938	1309.9044	296.5481	121.3709	169.5813	252.3596	336.3889	497.5560	728.4500	250.2119	552.1689
PHTF2	659.5599	968.6099	493.3594	1358.2007	293.6107	589.8711	468.1599	1200.2107	557.8211	561.4331	499.6489	1001.7921	788.3895	773.6552	1487.2873	708.5174	676.8479	245.0249	396.0449	1209.5831	265.5506
PIK3C3	262.6760	589.6861	862.5000	360.7902	664.4874	415.1029	280.1932	480.5058	474.4754	423.4272	278.6126	462.3656	429.4632	215.1691	344.1025	583.5962	594.4672	565.2985	422.2341	329.7491	278.7841
PIPSL	384.8572	137.5187	487.1094	267.1012	218.7221	216.8212	290.7334	296.1012	152.9990	284.2150	247.7180	258.6619	305.2434	515.5714	266.1059	335.0158	244.6985	436.5672	184.3934	144.3753	221.4392
PLCD3	1876.9988	124.8132	671.0938	87.8699	144.7251	601.1757	512.5165	65.3319	236.9400	307.6181	108.6926	234.7670	186.6417	119.2073	153.6991	386.1199	152.8929	32.3383	802.7793	292.2719	1335.2522
POC1A	284.8162	138.2661	188.6719	271.1746	34.4725	280.1266	365.3931	175.9747	252.4185	260.3293	166.2688	262.8435	88.0150	190.1356	909.9599	116.7192	247.8401	42.2886	73.7573	371.5022	229.8204
POLR3G	76.8074	53.8117	98.4375	83.7964	30.6092	95.4104	62.3628	99.0516	170.2634	55.2506	93.8070	52.5687	27.4657	64.9680	112.4068	33.4385	97.7398	46.6418	65.2058	210.7778	40.5825
PPP1R3F	159.0816	72.4963	86.7188	36.0790	56.1664	72.8013	133.0698	59.0095	61.9140	87.5807	36.2309	342.8913	58.6767	221.7255	81.8199	112.9338	77.4937	200.8706	130.9460	18.6128	68.3727
PSME3	3935.4927	2428.2511	3898.0469	2807.1809	2415.4532	2919.0595	2075.0988	1738.6723	3489.8050	2841.6672	2310.9114	3103.3453	2277.7778	3375.9499	3022.7490	3100.3155	3410.4198	1133.0846	1766.9695	3427.0263	2661.2410
RAB12	257.2092	951.4200	782.4219	1085.8623	961.3670	818.6751	1111.1111	860.9062	501.8604	1068.3395	494.8743	1005.9737	815.8552	857.6963	792.9650	928.7066	833.5806	1157.3383	860.5024	501.5406	995.1533
