ID	A59K	5607	5068	A472	4628	4668	4432	4510	7161	7166	6983	8648	5423	5425	8513	6779	7148	8660	6982	8395	6767	6742	4629	7771	2659	A4TK	4506	7667	6975	5932	A46U	8278	7760	1596	7147	2665	8619	5815	6979	7030	8092	A4JF	8119	A4SY	6984	8194	6146	7978	4424	7994	4505	A471	5125	4397	8054	A4SW	7150	A4T4	4427
CARM1	677.7368	1308.3808	632.7558	999.0347	983.2491	1070.6027	967.1185	653.8953	978.0930	961.6585	1360.2837	1306.3407	836.6300	1030.5430	913.9466	1147.6390	853.4964	1335.7910	1062.9177	1211.0180	1269.2308	967.9344	1773.8815	806.2857	1193.2004	1366.5181	1387.7226	1283.4759	1095.5574	651.2884	783.8060	1344.9148	1307.3079	1047.9574	964.0364	1527.9886	1263.2499	1453.2600	1080.2926	1205.2083	801.6415	1599.0007	896.9553	968.0272	1146.2523	764.9368	608.7545	1174.1762	704.9571	879.2294	1355.0379	1217.9028	630.4124	1634.0144	1122.3046	1290.9836	876.0757	1277.4287	1154.8940
CDK2AP1	2789.0529	2668.0228	2194.9786	2273.1660	2889.6966	1918.3272	3837.3233	2285.7599	1477.7950	2607.6683	2667.3759	2529.4118	1791.9414	2252.2624	1395.4006	1239.2907	2744.4829	1625.6985	1936.8518	1732.9707	2484.6154	2292.3192	2557.4365	1404.0000	1938.8689	1865.7751	2431.2009	1888.0912	3676.4459	844.9709	1196.8763	1713.8783	2644.5971	3320.8999	2176.1244	2842.5047	1227.7228	2266.3001	1204.3184	1987.5000	1281.6478	2953.9435	2564.6084	3334.4120	1274.2230	1720.0174	1469.3141	1891.3921	3072.4500	2676.3149	2401.3472	2160.1023	2477.8351	2155.7151	2335.5258	2512.2951	1596.6724	1654.9058	2095.3582
CGGBP1	2813.6593	826.6884	2551.5450	2578.1853	2098.0152	1594.8364	2863.0141	2399.7446	1687.2288	1545.6977	1966.6667	1957.9832	1972.8938	1338.2353	1831.6024	462.2435	1584.7062	1297.2923	1318.2761	1923.3300	1763.9053	1534.6756	1856.7110	1973.7143	1703.1710	1516.0971	1573.9727	2143.1217	1343.7217	1348.3126	2161.1344	2099.9624	2572.1424	1066.3114	1397.5398	2491.9402	1595.8066	2019.6386	1880.1178	1957.2917	2182.9384	1063.9335	1772.6231	1605.2973	1594.1499	2401.2604	1757.6715	1612.9792	1821.7350	1894.2851	2487.5133	1056.7775	2233.0000	1101.2965	1989.1766	1542.8051	1419.9656	1420.9763	2934.4450
CHCHD8	1022.7552	900.7323	3028.6771	825.2896	1318.2680	952.0295	1907.9896	756.3857	1565.2428	1942.4877	907.8014	510.3132	1897.4359	1180.9955	524.4807	842.3989	1368.7849	1525.3684	870.2466	787.7538	1135.5030	1418.3445	1466.1427	753.7143	796.6656	646.8549	1965.1776	1134.6526	1297.5692	1130.0914	793.2594	920.4641	1015.6152	2876.8502	1505.1332	1175.5218	557.9499	407.6984	749.0874	534.3750	1252.2869	832.2777	510.8174	634.6726	1140.7678	781.0728	854.2419	627.1015	510.9628	851.6843	1249.5088	1683.8875	1126.8041	1441.4136	477.8953	919.3989	909.3517	940.0677	406.1554
COQ9	550.4305	982.9129	1012.4093	907.3359	921.6182	1009.1021	983.8477	1773.3078	835.8984	1960.3210	941.1348	657.7540	1879.8535	1504.5249	921.3650	1340.5061	1160.8615	1032.4673	1070.2927	1407.9565	744.9704	1110.3654	1158.4039	646.8571	1228.1791	935.6117	2562.5311	1347.0670	1159.2624	1021.6126	594.7390	1342.8405	1618.3635	1523.3866	1390.8886	1442.5996	754.2225	709.3480	687.0745	629.1667	1413.7718	1099.3684	770.6977	1069.3323	883.9122	824.2477	730.5957	574.9832	651.5729	1041.9676	1299.4667	2626.5985	473.1959	2301.9326	1277.8287	916.6667	2113.5972	1143.5476	507.5681
COX7A1	21.5252	48.0065	356.5664	19.3050	273.3881	80.4428	67.7819	206.5773	59.8907	158.7160	121.2766	228.4186	120.1465	94.4570	91.9881	39.8486	43.6054	58.9148	141.0463	73.6874	45.5621	99.1797	210.7013	73.7143	102.9748	155.5225	117.7992	41.6172	217.9380	34.9127	17.2626	85.3050	51.8426	50.9177	66.1210	216.3188	127.5480	148.4682	80.3349	125.0000	68.0639	39.4213	95.2193	102.6040	59.4150	64.5443	32.9422	78.0094	82.9361	15.8306	171.4847	53.7084	46.9072	29.1552	35.3010	45.5373	81.4687	86.5152	45.9132
CUL3	2023.3702	1746.9487	2183.0075	2121.6216	2228.1922	2248.4625	2344.3900	2020.4342	1509.0263	1353.5444	1818.7943	1071.8105	1340.6593	1545.8145	1215.1335	1181.9087	1872.9061	1615.7822	1514.6347	1513.6629	1535.5030	1571.2155	951.9347	1415.4286	1769.8594	1266.9638	1884.7876	2010.9453	2113.9983	2120.1164	1748.4587	1815.7775	1483.4478	802.8419	1601.7716	1260.9108	1387.8858	1388.0597	1450.9605	1493.7500	1648.2142	1942.7195	1412.7704	1460.6993	1727.6051	2050.5887	2191.3357	2018.1574	2382.7455	1608.3851	1793.4325	1298.2097	1375.7732	1347.3219	1604.1962	1383.8798	2627.0797	1315.1281	2115.5399
CXXC1	678.3518	683.4825	519.8858	634.1699	587.2314	756.7036	937.6983	1090.9962	747.3483	1584.0392	798.2270	1059.5875	419.0476	500.0000	1175.8160	606.4953	739.6969	791.5583	418.5296	1101.8027	244.3787	738.2550	536.5780	692.5714	1213.4685	937.0976	1127.8480	1142.6431	641.2406	912.7182	576.2433	801.7113	449.0943	689.1652	663.5575	700.1898	979.6156	498.0361	709.6247	698.9583	1660.6703	1071.4634	1067.1401	874.0818	744.0585	483.6459	497.7437	653.6651	521.9256	713.3251	600.0561	1557.5448	475.2577	949.7515	1066.3558	753.1876	570.8548	818.2697	558.5267
DDX10	768.1427	426.3629	471.1465	418.9189	254.1087	661.9926	397.4618	189.3359	551.8767	413.2858	463.4752	423.2238	412.4542	478.5068	315.2819	311.6159	286.0941	405.9871	511.6386	227.6416	1036.6864	504.1014	564.9940	507.4286	559.6600	413.5711	972.6395	693.8427	414.9204	481.2968	275.7912	466.1956	734.5409	930.7282	654.1676	446.8691	451.9511	266.3001	472.8482	392.7083	602.3433	411.4880	434.2737	500.8978	468.0073	548.6263	309.1155	490.2488	540.0381	612.3262	351.1086	865.9847	775.2577	363.7769	544.5009	319.2168	776.2478	328.1779	398.5873
DYNC1H1	10551.6605	8419.8535	2729.4007	8769.3050	2098.2933	7527.6753	7672.0508	4514.6871	12064.1272	7355.7735	8680.1418	8034.3774	1926.7399	3453.6199	9291.5430	17651.3250	8068.0670	6342.9658	9828.9929	7346.3748	9807.6923	7494.4072	5985.7920	7186.8571	6359.5946	5654.2843	3780.7183	13339.1597	12284.9958	10565.2535	7590.6289	9238.3484	5934.4160	4274.7188	5273.2480	5923.1499	8275.4805	10160.2514	6745.3103	8748.9583	5636.4031	7240.2399	13258.1048	10314.5114	7675.5027	11115.5691	7071.7509	9697.7135	12184.9380	12268.6858	4552.3435	7135.0384	5979.8969	5321.7007	5389.7261	6955.3734	7216.8675	9890.7685	10947.0232
ECHDC2	791.5129	673.7185	792.6549	1546.3320	530.6574	463.2226	365.7341	2613.9847	922.9788	1064.6456	514.1844	537.0512	846.1538	362.5566	1246.2908	145.0488	379.1545	571.0652	641.6225	1164.0861	360.3550	626.3982	236.0943	826.2857	1447.8588	958.3952	489.5035	334.9356	262.3638	734.8296	858.1998	567.8356	813.8663	435.1687	1469.5296	789.3738	890.5067	278.8688	458.7544	622.9167	772.2806	567.4016	304.3335	873.2159	665.4479	670.7370	902.0758	542.7034	132.9838	657.2849	930.1151	1156.5217	534.0206	785.2015	614.1037	2126.5938	290.8778	701.3050	670.0303
EDEM2	1052.8905	840.5207	2396.7764	526.0618	1946.5866	1112.1771	2107.5858	2321.2005	1224.6371	1729.8261	1325.8865	1311.6883	2845.4212	5825.7919	947.3294	710.8986	1920.7658	887.2219	1150.4955	950.0417	1328.9941	1604.7726	1547.4607	1905.7143	973.5208	1245.1709	1164.8592	447.4686	775.3562	1455.9435	1080.1480	1536.5269	1072.4547	2505.0326	944.0828	1527.5142	1163.0751	1162.6080	1145.1242	708.3333	1621.9673	772.9242	1111.8564	1232.9792	845.5210	804.1867	815.8845	1572.9657	763.1077	1114.4716	1990.4575	1848.0818	1020.1031	1387.5207	678.7112	1102.4590	1652.3236	933.7844	713.4208
EIF3J	1043.0504	1414.1579	1747.7741	1208.4942	950.6953	1314.3911	1063.7439	913.7931	1283.0582	1633.5265	1405.3191	1003.8197	1164.8352	952.4887	953.2641	1515.8398	1993.6187	1979.6365	1329.3386	1073.2927	1066.8639	1397.4646	1480.0484	1064.5714	818.2413	1043.5859	4593.7718	1062.7380	2094.7192	1724.8545	1429.5109	1502.5604	1950.0312	1609.2362	871.7018	1333.4915	926.6162	1206.5986	942.1730	1022.9167	1717.1678	1147.6485	1615.8611	678.8312	1816.2706	1624.0733	1200.8123	1087.0881	978.5510	648.7364	1187.4825	1601.5345	1289.1753	669.0226	2243.2770	903.0055	1936.8904	1085.5486	1216.9526
EIF3M	1475.9656	2423.0269	3270.3898	2474.6815	2744.7503	2931.8106	2039.5731	1169.5211	1891.0484	5848.9657	2457.0213	1831.8258	2679.6557	1923.5464	1626.8027	2696.9277	2211.0290	2027.5208	2338.6034	1168.4197	2189.3077	2979.0007	2813.7183	2254.1657	3087.2148	2584.7746	5516.0601	3266.7108	2370.4275	2382.2402	2400.6700	1808.6913	3200.9494	1807.5252	1973.3051	2740.4412	1938.7653	2523.8885	2544.5295	1657.2083	2509.3026	1896.6275	2372.8599	2253.7716	2896.5722	1926.6507	1420.4287	1869.9933	2002.8408	1238.8112	2382.3407	2021.4169	1926.2577	2311.3263	2843.3270	1744.4490	3411.8703	1825.9449	1549.3996
ENC1	785.2706	1077.4695	2435.8020	1708.6969	2183.2680	1561.0603	1279.4058	2040.4566	2241.6408	3423.3972	4249.5957	1777.2880	2162.3370	1527.5622	1306.1053	498.9042	2226.8227	964.9428	2559.3823	1291.7189	1137.1953	1812.5652	925.8646	2397.8400	3194.7205	1750.5597	662.2227	622.9269	1120.5868	2165.4406	977.8339	1810.0162	3407.7389	1607.1877	2092.9254	2317.0683	2463.1217	1861.7439	2331.9380	2862.7292	1898.6448	1240.5677	3461.9978	6007.1065	4838.2084	2175.1679	2680.7040	2302.3840	1247.6358	1399.9821	2369.3292	357.0332	1395.5412	199.4478	986.2559	2227.3634	1318.3018	1374.4804	777.3713
ESYT1	3381.3038	3131.8145	1562.2228	3775.0965	3727.5601	3254.8585	4060.8595	2451.4687	1757.7750	816.7633	2174.1135	3019.0985	2098.9011	2596.7195	2635.7567	4354.6523	1930.3377	3209.9817	2886.3794	2366.7705	3543.7870	1532.4385	3583.7364	2941.7143	2884.9297	3010.8965	2820.0179	3121.9593	2620.2850	2893.5993	3369.5027	3612.3679	3450.3435	2334.5175	2485.6021	3320.2087	3550.3786	4089.5522	2209.2089	2533.3333	2280.3632	1555.5930	1664.4966	5628.0650	4542.9616	2144.7885	1956.6787	3453.9341	3743.0887	2880.5291	3080.2694	1570.3325	5472.1649	2623.7438	1804.0130	2702.6412	1862.8801	3321.4113	4082.7447
FAM164A	275.5228	398.6981	1503.2226	465.2510	976.2958	194.8339	324.1996	358.5568	633.4457	139.5453	273.4043	268.9076	447.6190	203.0543	392.4332	178.5216	156.8732	239.7424	460.0138	713.6278	305.3254	152.8710	301.6929	766.8571	306.9631	560.1783	60.0935	517.7185	152.5566	420.6151	194.4102	229.7271	460.9619	240.9710	172.1494	484.8197	215.4921	285.1532	379.1242	304.1667	526.2719	197.5497	279.0820	419.0744	183.7294	385.5212	84.8375	282.4479	189.7045	248.8564	164.1875	87.4680	293.8144	254.4451	717.3424	456.2842	188.7550	149.3475	417.7598
FAM3C	1755.2276	1108.2181	1649.4405	4448.8417	2085.3350	3041.8204	1169.0222	2333.3333	1337.8049	1099.4204	1609.9291	1148.9687	1848.3516	908.9367	879.8220	1428.1729	1627.2268	1196.9621	2169.1634	1038.2034	19416.5680	786.7263	4778.7183	1151.4286	1314.4819	3877.6622	559.5463	665.2101	1950.5448	2497.9219	1276.2022	1243.0155	4344.1599	3518.0580	1342.3738	2407.9696	1066.3949	4841.3197	2385.3819	2877.0833	1563.6904	2055.2253	1841.2573	3023.1368	2414.9909	1601.3956	3054.1516	5738.7357	2449.4757	3605.2523	5385.9107	1371.8670	5011.3402	1678.1888	1107.3183	1917.1220	997.7051	5512.3248	5784.5610
