ID	7907	8174	7670	7669	8074	5055	7713	1678	A4N1	A48X	A4BC	A4EZ	7539	7910	8192	7711	6217	7914	8640	6212	6978	5428	8674	8279	A4BD	6851	8280	7039	6562	A4TI	4626	A4D0	8055	4676	4627	6744	7626	6712	6830
COX7A1	82.8772	133.3242	34.6240	35.5755	86.1330	310.6312	19.2389	122.6879	82.2686	65.4936	149.4778	32.6547	52.7246	49.0741	130.2675	30.6062	69.9338	46.9765	23.9241	66.2530	109.5176	272.0733	57.3356	122.3704	50.8473	38.4506	129.4075	64.2857	94.8680	130.1881	140.9423	10.7027	109.7300	78.1003	614.7391	106.9246	117.5146	43.0204	137.1648
CUL3	2264.2690	1671.6173	3240.4359	1879.3655	1619.7284	1897.0100	1932.7842	1785.0620	1590.5266	1584.0665	1071.8016	1688.9938	1404.4183	1949.0741	1819.2398	2184.8146	1523.1933	1780.1099	1617.5055	1565.9101	1472.3630	2112.0558	1413.7156	1287.4074	1807.7095	1864.9957	1599.7819	1869.2857	2007.2357	1306.4944	1419.8292	1361.5635	1926.2752	1486.0158	1445.0930	1531.5682	2269.4826	2030.9209	1275.8621
CXXC1	358.0923	743.8231	795.7338	989.3657	667.6197	805.6478	523.0566	1152.8916	862.1585	1223.8514	1011.7493	426.8713	600.8837	465.7407	441.1075	521.7775	571.4107	979.0105	1312.9103	586.1445	592.2596	507.5213	1212.4789	663.7037	770.5997	805.4685	660.1236	665.0000	589.0393	979.4864	871.8964	1240.5770	492.4989	584.6966	500.5472	618.6354	603.5071	587.0491	583.9080
DDX10	410.4769	245.5684	549.9652	805.3547	372.7663	409.4684	551.9149	376.4926	258.4398	343.5973	848.5640	319.8584	620.3240	587.0370	527.8273	943.4962	365.5891	619.6902	743.9825	507.4203	592.9801	592.1081	452.5014	856.2963	393.6283	464.8248	450.7452	730.0000	419.1344	389.5393	321.0226	402.9781	415.7737	1033.2454	385.9905	478.6151	385.8348	644.4096	487.3563
DYNC1H1	8031.2744	9058.3807	8822.9384	11301.9543	9708.3631	4729.2359	10956.2917	3563.5683	6240.3656	8551.3196	6101.1749	6074.1615	8138.1443	3705.5556	9044.7677	6280.7534	6864.3198	8167.9160	7012.6915	10542.0278	10838.6381	1401.3516	7323.2153	5003.5556	5068.9507	10181.7146	8541.9847	7181.4286	7796.3286	9037.3125	7181.4943	6684.0391	9995.2850	5549.3404	5211.6016	7005.6008	9090.1654	7884.3827	8062.8352
ECHDC2	391.7123	1232.4961	359.8423	431.8124	849.8928	419.4352	575.4825	489.8150	1849.7974	1153.4702	768.9295	942.2642	1004.4183	502.7778	655.8423	291.9364	1726.7406	653.6732	574.7629	589.2623	314.8630	949.6403	1234.9635	1063.1111	2794.8486	1089.4332	1116.3213	607.8571	330.6981	644.7901	609.9203	1110.7492	357.0510	668.6016	257.2054	513.2383	432.4992	321.7567	486.5900
EDEM2	1275.9969	925.0565	1849.9111	684.5208	933.8813	1514.1196	1403.7155	697.7289	825.1792	1158.3578	1552.8721	582.2760	898.6745	855.5556	924.2609	1176.2802	1032.5192	1061.9690	924.8724	1530.8349	949.2725	2820.1439	2150.0843	1016.8889	1317.6466	1035.6024	994.1839	760.0000	1372.6383	1003.0638	1238.8440	583.9926	1146.5924	1071.7678	1485.2244	1602.3422	925.6052	807.5286	1281.9923
EIF3J	1211.8843	830.0595	988.3299	1654.5654	1059.3281	1334.7176	1817.5915	2180.2856	387.2442	691.1046	859.6606	1022.9173	726.6568	1542.5926	995.2135	2447.9105	1076.2990	1544.7276	1545.1495	1006.2668	1561.3461	1283.6276	1483.9798	1214.5185	1295.7297	747.6502	1052.7081	732.8571	1004.4218	1011.2646	1292.2346	1401.5821	1078.8684	1457.5198	1219.2630	1237.2709	818.6185	811.1136	1132.5670
EIF3M	1498.7568	1073.8841	3120.1267	2413.4880	3858.1844	2902.6578	1330.0571	5384.8092	1550.0654	1793.1916	2153.1789	1493.7936	2264.7452	1639.7315	1743.6809	1232.4662	1617.4448	2517.1364	2717.9460	3633.6753	2486.0743	2482.5550	2376.9871	1848.1926	3677.4790	1699.4617	2477.5064	2492.7143	1886.0083	2883.0318	1886.2530	2465.2396	1774.0420	2684.8443	2768.1868	2239.1650	1401.4254	2288.9267	3320.9425
ENC1	2946.0516	3264.6499	6205.5275	908.2077	1830.4146	2117.9402	1831.3882	641.4797	849.9595	3518.3871	961.4099	754.1733	1650.5155	475.0000	2828.2196	1293.7934	3016.4629	1769.2754	498.8417	1025.5971	2615.6761	844.7787	816.0933	2409.1230	1655.1676	2091.7744	5943.0062	4873.3071	3359.9946	2405.3029	698.2750	4123.0154	4519.0441	909.6781	3120.5509	2060.6365	2773.0169	1149.7916	1686.6130
